state,age18plus,age18_25,age26plus
Alabama,13.0,11.0,13.0
Alaska,14.000000000000002,13.0,14.000000000000002
Arizona,12.0,10.0,12.0
Arkansas,16.0,13.0,16.0
California,12.0,10.0,12.0
Colorado,16.0,14.000000000000002,16.0
Connecticut,17.0,15.0,17.0
Delaware,15.0,12.0,15.0
District of Columbia,15.0,13.0,16.0
Florida,13.0,10.0,13.0
Georgia,12.0,9.0,12.0
Hawaii,9.0,9.0,9.0
Idaho,17.0,16.0,17.0
Illinois,14.000000000000002,12.0,14.000000000000002
Indiana,15.0,14.000000000000002,16.0
Iowa,17.0,15.0,17.0
Kansas,14.000000000000002,14.000000000000002,14.000000000000002
Kentucky,18.0,15.0,18.0
Louisiana,13.0,11.0,14.000000000000002
Maine,19.0,17.0,20.0
Maryland,14.000000000000002,14.000000000000002,14.000000000000002
Massachusetts,19.0,17.0,19.0
Michigan,16.0,15.0,16.0
Minnesota,19.0,17.0,19.0
Mississippi,12.0,10.0,12.0
Missouri,16.0,12.0,16.0
Montana,16.0,17.0,16.0
Nebraska,16.0,16.0,16.0
Nevada,12.0,9.0,12.0
New Hampshire,21.0,21.0,21.0
New Jersey,13.0,12.0,13.0
New Mexico,13.0,11.0,13.0
New York,14.000000000000002,12.0,15.0
North Carolina,16.0,13.0,17.0
North Dakota,14.000000000000002,13.0,15.0
Ohio,17.0,15.0,17.0
Oklahoma,15.0,13.0,15.0
Oregon,18.0,16.0,18.0
Pennsylvania,16.0,13.0,17.0
Rhode Island,19.0,17.0,19.0
South Carolina,14.000000000000002,13.0,15.0
South Dakota,15.0,15.0,15.0
Tennessee,15.0,13.0,15.0
Texas,11.0,9.0,11.0
Utah,16.0,16.0,16.0
Vermont,20.0,22.0,20.0
Virginia,17.0,14.000000000000002,17.0
Washington,16.0,13.0,17.0
West Virginia,17.0,14.000000000000002,17.0
Wisconsin,16.0,16.0,16.0
Wyoming,14.000000000000002,13.0,14.000000000000002
